ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
hsa04010,MAPK signaling pathway,17/50,295/7852,1.2037365059096474e-12,1.9380157745145322e-10,1.1277110423785119e-10,17,kg,NAC,2353/3164/3725/3479/80310/4616/4804/1647/55970/3554/2318/1844/1969/51776/3303/781/3082,FOS/NR4A1/JUN/IGF1/PDGFD/GADD45B/NGFR/GADD45A/GNG12/IL1R1/FLNC/DUSP2/EPHA2/MAP3K20/HSPA1A/CACNA2D1/HGF
GO:0071559,response to transforming growth factor beta,12/53,249/18493,4.458035709878614e-12,5.300604459045673e-9,3.0713519706479513e-9,12,bp,NAC,2353/3725/80310/4088/3303/4093/1277/7472/7474/1278/8516/1281,FOS/JUN/PDGFD/SMAD3/HSPA1A/SMAD9/COL1A1/WNT2/WNT5A/COL1A2/ITGA8/COL3A1
GO:0071560,cellular response to transforming growth factor beta stimulus,12/53,242/18493,3.18702273905948e-12,5.300604459045673e-9,3.0713519706479513e-9,12,bp,NAC,2353/3725/80310/4088/3303/4093/1277/7472/7474/1278/8516/1281,FOS/JUN/PDGFD/SMAD3/HSPA1A/SMAD9/COL1A1/WNT2/WNT5A/COL1A2/ITGA8/COL3A1
GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,12/53,340/18493,1.6683082668842459e-10,1.1424497710967049e-7,6.619745696806635e-8,12,bp,NAC,2353/3725/6424/4088/3303/353500/4093/7474/1278/8516/1281/3280,FOS/JUN/SFRP4/SMAD3/HSPA1A/BMP8A/SMAD9/WNT5A/COL1A2/ITGA8/COL3A1/HES1
GO:0048146,positive regulation of fibroblast proliferation,7/53,55/18493,1.9216985216092596e-10,1.1424497710967049e-7,6.619745696806635e-8,7,bp,NAC,3725/3479/80310/7472/7474/3981/1026,JUN/IGF1/PDGFD/WNT2/WNT5A/LIG4/CDKN1A
GO:0001704,formation of primary germ layer,8/53,118/18493,1.5077583124884146e-9,5.975748778495749e-7,3.462553738679535e-7,8,bp,NAC,9314/3679/4088/1969/2114/64321/7474/8516,KLF4/ITGA7/SMAD3/EPHA2/ETS2/SOX17/WNT5A/ITGA8
GO:0001933,negative regulation of protein phosphorylation,12/53,408/18493,1.3348561774663326e-9,5.975748778495749e-7,3.462553738679535e-7,12,bp,NAC,9314/3725/10252/4616/1647/9021/1844/3082/2810/3486/1026/324,KLF4/JUN/SPRY1/GADD45B/GADD45A/SOCS3/DUSP2/HGF/SFN/IGFBP3/CDKN1A/APC
GO:0050673,epithelial cell proliferation,12/53,420/18493,1.8522695324127357e-9,6.292424211539265e-7,3.6460463427492805e-7,12,bp,NAC,3164/3725/3479/6772/4804/4088/1969/2810/7472/7474/3486/3280,NR4A1/JUN/IGF1/STAT1/NGFR/SMAD3/EPHA2/SFN/WNT2/WNT5A/IGFBP3/HES1
hsa05202,Transcriptional misregulation in cancer,11/50,186/7852,1.638507334769337e-8,1.1306732426337892e-6,6.579268950271805e-7,11,kg,NAC,3479/7102/4616/4804/1647/7704/51513/862/3486/1026/8842,IGF1/TSPAN7/GADD45B/NGFR/GADD45A/ZBTB16/ETV7/RUNX1T1/IGFBP3/CDKN1A/PROM1
hsa05224,Breast cancer,10/50,147/7852,2.1068445514915326e-8,1.1306732426337892e-6,6.579268950271805e-7,10,kg,NAC,2353/3725/3479/4616/1647/7472/7474/1026/324/3280,FOS/JUN/IGF1/GADD45B/GADD45A/WNT2/WNT5A/CDKN1A/APC/HES1
GO:0042326,negative regulation of phosphorylation,12/53,448/18493,3.8288432363923805e-9,1.1381236520176352e-6,6.594678679523194e-7,12,bp,NAC,9314/3725/10252/4616/1647/9021/1844/3082/2810/3486/1026/324,KLF4/JUN/SPRY1/GADD45B/GADD45A/SOCS3/DUSP2/HGF/SFN/IGFBP3/CDKN1A/APC
GO:0048144,fibroblast proliferation,7/53,91/18493,7.085966926926511e-9,1.568547475347511e-6,9.088701895577408e-7,7,bp,NAC,3725/3479/80310/7472/7474/3981/1026,JUN/IGF1/PDGFD/WNT2/WNT5A/LIG4/CDKN1A
GO:0048145,regulation of fibroblast proliferation,7/53,90/18493,6.555180355808399e-9,1.568547475347511e-6,9.088701895577408e-7,7,bp,NAC,3725/3479/80310/7472/7474/3981/1026,JUN/IGF1/PDGFD/WNT2/WNT5A/LIG4/CDKN1A
GO:0072001,renal system development,10/53,286/18493,7.25568638722566e-9,1.568547475347511e-6,9.088701895577408e-7,10,bp,NAC,10252/80310/6772/7704/4088/64321/7474/8516/8842/3280,SPRY1/PDGFD/STAT1/ZBTB16/SMAD3/SOX17/WNT5A/ITGA8/PROM1/HES1
GO:0071900,regulation of protein serine/threonine kinase activity,12/53,496/18493,1.1921577158792977e-8,2.362459206967475e-6,1.368889868496492e-6,12,bp,NAC,3479/10252/80310/4616/1647/1844/51776/3082/2810/7474/1026/324,IGF1/SPRY1/PDGFD/GADD45B/GADD45A/DUSP2/MAP3K20/HGF/SFN/WNT5A/CDKN1A/APC
GO:0001655,urogenital system development,10/53,322/18493,2.2385974471559707e-8,3.8024176638120704e-6,2.2032511716745607e-6,10,bp,NAC,10252/80310/6772/7704/4088/64321/7474/8516/8842/3280,SPRY1/PDGFD/STAT1/ZBTB16/SMAD3/SOX17/WNT5A/ITGA8/PROM1/HES1
GO:0060759,regulation of response to cytokine stimulus,8/53,165/18493,2.134394225303078e-8,3.8024176638120704e-6,2.2032511716745607e-6,8,bp,NAC,9314/3977/6772/9021/3554/7097/3303/7474,KLF4/LIFR/STAT1/SOCS3/IL1R1/TLR2/HSPA1A/WNT5A
GO:0007369,gastrulation,8/53,181/18493,4.389729901707329e-8,6.959185137506686e-6,4.032390485147295e-6,8,bp,NAC,9314/3679/4088/1969/2114/64321/7474/8516,KLF4/ITGA7/SMAD3/EPHA2/ETS2/SOX17/WNT5A/ITGA8
hsa04151,PI3K-Akt signaling pathway,13/50,354/7852,1.989042594417851e-7,8.00589644253185e-6,4.658547129031283e-6,13,kg,NAC,3164/3479/80310/4804/55970/3679/7097/1969/3082/1277/1278/8516/1026,NR4A1/IGF1/PDGFD/NGFR/GNG12/ITGA7/TLR2/EPHA2/HGF/COL1A1/COL1A2/ITGA8/CDKN1A
GO:0001707,mesoderm formation,6/53,72/18493,5.595278118014776e-8,8.31598210289946e-6,4.818565168737726e-6,6,bp,NAC,9314/4088/1969/64321/7474/8516,KLF4/SMAD3/EPHA2/SOX17/WNT5A/ITGA8
GO:0048332,mesoderm morphogenesis,6/53,74/18493,6.605376541185497e-8,9.239756126434772e-6,5.353831512329299e-6,6,bp,NAC,9314/4088/1969/64321/7474/8516,KLF4/SMAD3/EPHA2/SOX17/WNT5A/ITGA8
GO:0007179,transforming growth factor beta receptor signaling pathway,8/53,193/18493,7.218206727666686e-8,9.536053110217433e-6,5.525516144161224e-6,8,bp,NAC,2353/3725/4088/3303/4093/1278/8516/1281,FOS/JUN/SMAD3/HSPA1A/SMAD9/COL1A2/ITGA8/COL3A1
GO:0050678,regulation of epithelial cell proliferation,10/53,368/18493,7.850362451043924e-8,9.825348372938133e-6,5.6931437387349025e-6,10,bp,NAC,3164/3725/3479/6772/4804/4088/2810/7472/7474/3280,NR4A1/JUN/IGF1/STAT1/NGFR/SMAD3/SFN/WNT2/WNT5A/HES1
GO:0002009,morphogenesis of an epithelium,11/53,479/18493,8.963466183286926e-8,1.0105090734259982e-5,5.855236054688291e-6,11,bp,NAC,9314/10252/6772/9021/4088/1969/3082/64321/7472/7474/3280,KLF4/SPRY1/STAT1/SOCS3/SMAD3/EPHA2/HGF/SOX17/WNT2/WNT5A/HES1
GO:0007498,mesoderm development,7/53,131/18493,8.953445528916957e-8,1.0105090734259982e-5,5.855236054688291e-6,7,bp,NAC,9314/4088/1969/2114/64321/7474/8516,KLF4/SMAD3/EPHA2/ETS2/SOX17/WNT5A/ITGA8
GO:1901652,response to peptide,11/53,481/18493,9.348696221771219e-8,1.0105090734259982e-5,5.855236054688291e-6,11,bp,NAC,9314/3164/3479/6772/4804/9021/7097/8835/781/1277/324,KLF4/NR4A1/IGF1/STAT1/NGFR/SOCS3/TLR2/SOCS2/CACNA2D1/COL1A1/APC
GO:0048762,mesenchymal cell differentiation,8/53,210/18493,1.383246744105254e-7,1.4301568510792583e-5,8.286819167202644e-6,8,bp,NAC,10252/6772/4088/3082/1277/7472/7474/3280,SPRY1/STAT1/SMAD3/HGF/COL1A1/WNT2/WNT5A/HES1
GO:0061614,pri-miRNA transcription by RNA polymerase II,5/53,44/18493,1.5899104636341134e-7,1.575336284384134e-5,9.12803858288182e-6,5,bp,NAC,2353/9314/3725/4804/4088,FOS/KLF4/JUN/NGFR/SMAD3
GO:0006469,negative regulation of protein kinase activity,8/53,222/18493,2.1175636546509847e-7,2.014226548304017e-5,1.1671119258686904e-5,8,bp,NAC,10252/4616/1647/9021/1844/2810/1026/324,SPRY1/GADD45B/GADD45A/SOCS3/DUSP2/SFN/CDKN1A/APC
GO:0019838,growth factor binding,7/52,137/17632,1.4649440347767403e-7,3.0617330326833874e-5,2.0046602581155398e-5,7,mf,NAC,3977/4804/3554/1277/1278/3486/1281,LIFR/NGFR/IL1R1/COL1A1/COL1A2/IGFBP3/COL3A1
