ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
hsa04010,MAPK signaling pathway,10/25,295/7852,9.543919181543508e-9,1.2502534127821995e-6,7.936522266757232e-7,10,kg,NAC,2353/3164/3725/3479/80310/4616/4804/2318/3303/3082,FOS/NR4A1/JUN/IGF1/PDGFD/GADD45B/NGFR/FLNC/HSPA1A/HGF
hsa04510,Focal adhesion,8/25,199/7852,1.1050031900248666e-7,7.237770894662876e-6,4.594486947998129e-6,8,kg,NAC,3725/3479/80310/2318/3679/3082/1277/1278,JUN/IGF1/PDGFD/FLNC/ITGA7/HGF/COL1A1/COL1A2
GO:0005583,fibrillar collagen trimer,3/26,11/19659,3.364653359293562e-7,9.925727409916007e-6,6.37513268076675e-6,3,cc,NAC,1277/1278/1281,COL1A1/COL1A2/COL3A1
GO:0098643,banded collagen fibril,3/26,11/19659,3.364653359293562e-7,9.925727409916007e-6,6.37513268076675e-6,3,cc,NAC,1277/1278/1281,COL1A1/COL1A2/COL3A1
GO:0071559,response to transforming growth factor beta,7/26,249/18493,3.899737744723896e-8,2.813660782818291e-5,1.6584147882825833e-5,7,bp,NAC,2353/3725/80310/3303/1277/1278/1281,FOS/JUN/PDGFD/HSPA1A/COL1A1/COL1A2/COL3A1
GO:0071560,cellular response to transforming growth factor beta stimulus,7/26,242/18493,3.206462282555902e-8,2.813660782818291e-5,1.6584147882825833e-5,7,bp,NAC,2353/3725/80310/3303/1277/1278/1281,FOS/JUN/PDGFD/HSPA1A/COL1A1/COL1A2/COL3A1
GO:0098644,complex of collagen trimers,3/26,19/19659,1.9621417424145267e-6,3.8588787600819026e-5,2.478494832523613e-5,3,cc,NAC,1277/1278/1281,COL1A1/COL1A2/COL3A1
GO:0048407,platelet-derived growth factor binding,3/25,11/17632,4.1236236115421543e-7,4.6596946810426345e-5,2.474174166925293e-5,3,mf,NAC,1277/1278/1281,COL1A1/COL1A2/COL3A1
GO:0019838,growth factor binding,5/25,137/17632,1.234022525827338e-6,6.365339703662593e-5,3.3798263913252706e-5,5,mf,NAC,3977/4804/1277/1278/1281,LIFR/NGFR/COL1A1/COL1A2/COL3A1
GO:0035014,phosphatidylinositol 3-kinase regulator activity,3/25,17/17632,1.6899131956626354e-6,6.365339703662593e-5,3.3798263913252706e-5,3,mf,NAC,9314/9021/8835,KLF4/SOCS3/SOCS2
R-HSA-8874081,MET activates PTK2 signaling,4/23,30/10554,4.524015791102284e-7,8.007507950251042e-5,4.0001823837114933e-5,4,re,NAC,3082/1277/1278/1281,HGF/COL1A1/COL1A2/COL3A1
GO:0046332,SMAD binding,4/25,80/17632,4.62226547438552e-6,1.3057899965139094e-4,6.93339821157828e-5,4,mf,NAC,2353/3725/1278/1281,FOS/JUN/COL1A2/COL3A1
R-HSA-8875878,MET promotes cell motility,4/23,41/10554,1.6454450230251083e-6,1.456218845377221e-4,7.274599049163638e-5,4,re,NAC,3082/1277/1278/1281,HGF/COL1A1/COL1A2/COL3A1
GO:0000302,response to reactive oxygen species,6/26,224/18493,5.553124476780624e-7,1.8767610085281287e-4,1.1061917021488332e-4,6,bp,NAC,2353/9314/3725/80310/3082/1277,FOS/KLF4/JUN/PDGFD/HGF/COL1A1
GO:0008637,apoptotic mitochondrial changes,5/26,121/18493,6.502983397533363e-7,1.8767610085281287e-4,1.1061917021488332e-4,5,bp,NAC,3725/3479/3303/3082/2810,JUN/IGF1/HSPA1A/HGF/SFN
