"","logFC","negLogPval","Gene"
"1",3.87505933902009,21.0710137644062,"FOS"
"2",1.7604225211346,11.5789406574377,"KLF4"
"3",2.58945320692981,11.1481065009986,"NR4A1"
"4",3.07181505173876,7.68311354167552,"PLA2G2A"
"5",1.71028687889355,7.44058151957197,"NR4A3"
"6",1.41517885229881,6.39581151111713,"JUN"
"7",2.05694083747428,6.2956472242534,"IGF1"
"8",1.60041407925826,6.2956472242534,"TSPAN7"
"9",1.1798667010277,4.78464545259481,"SPRY1"
"10",1.24941165359592,4.24505880940518,"LIFR"
"11",1.40081997879765,4.21380846553298,"PDGFD"
"12",-1.17229628456289,4.21380846553298,"STAT1"
"13",1.10114189509146,4.11653489971866,"GADD45B"
"14",1.65532106451177,4.11077565842643,"NGFR"
"15",1.06647833430911,3.91656050122661,"IL11RA"
"17",1.88817585963475,3.83046791474405,"SFRP4"
"18",2.01596235984676,3.26357583026265,"ZBTB16"
"19",1.15744778746995,3.23448445702015,"LEPR"
"21",1.10739760066093,3.06995640965751,"SOCS3"
"23",1.29691717826184,2.82235586945455,"FLNC"
"24",1.21860683183914,2.73601277212572,"ITGA7"
"30",1.12438738010573,2.41325113253991,"SOCS2"
"33",1.17673961306709,2.24939137802646,"HSPA1A"
"35",1.06051444949735,1.98488581242315,"RUNX1T1"
"36",1.01174809362711,1.94617792070743,"HGF"
"42",1.28883602086721,1.76358136772778,"SFN"
"43",1.38334719754788,1.70677304227299,"COL1A1"
"46",1.27482006988267,1.6555266425129,"COL1A2"
"49",1.15091174543777,1.50281136969515,"COL3A1"
"54",-1.27668340893405,1.30813904881144,"PROM1"
